ID,method,prop_POC,C_N_MAOC,C_N_POC,yield_N,yield_C,Clay,pH,TOC,TOC_mesured,TIC,num_ID,c_poc,c_maoc
SP 05,M1,36.3546078161492,10.7590759075908,21.6434108527132,90.4199085449086,96.3778221643907,34.47,6.46,62.38,43.48,0.09,65,15.806983478461671,27.673016521538326
PS 04,M1,56.6941875218359,20.1981132075472,34.1132075471698,96.6054335367553,86.0575219051612,8.6,5.27,20.78,28.02,0.0,61,15.88571134361842,12.134288656381582
EPC 39a,M1,35.8660174635798,9.43392070484582,16.2893081761006,103.007047834203,100.145234389505,38.69,5.99,31.72,45.6,0.0,51,16.354903963392392,29.245096036607617
CL-14-2015,M1,23.4712172766752,8.98026315789474,22.2,92.1553058340623,93.1722726421902,33.0,6.8,13.01,13.01,0.0,44,3.0536053676954436,9.956394632304555
CL-14-2002,M1,30.0156500854758,9.01948051948052,30.7674418604651,99.6138211382113,102.895356387012,33.0,6.8,13.3,13.3,0.0,43,3.992081461368282,9.30791853863172
CL-10-2015,M1,37.667210993053,8.88888888888889,27.5957446808511,98.9952513039584,97.7780551599934,33.0,6.8,14.14,14.14,0.0,42,5.326143634417694,8.813856365582305
CL-10-2002,M1,35.4480352408559,8.73248407643312,25.8837209302326,91.7367864239509,105.136776578459,33.0,6.8,12.05,12.05,0.0,41,4.271488246523137,7.778511753476864
CL-05-2002,M1,33.5942457828481,8.83571428571429,26.1739130434783,84.259291972866,86.6841557772833,33.0,6.8,14.14,14.14,0.0,39,4.750226353694721,9.389773646305278
CHS 57b,M1,64.8968600739299,20.3202054794521,22.1836734693877,101.297875513497,99.5722389797878,5.31,4.54,34.16,30.61,0.0,38,19.864928868629942,10.745071131370057
CHS 57A,M1,50.9862605973527,10.039911308204,14.7363636363636,94.405312632293,92.1779678754361,15.41,4.57,23.07,25.66,0.0,37,13.083074469280701,12.576925530719299
CHS 35,M1,41.3839951089792,18.9140271493213,24.7071428571429,112.038813620702,106.107825071189,17.56,4.37,39.87,47.11,0.0,36,19.4960000958401,27.6139999041599
CHP 18,M1,28.4429589904974,13.457264957265,23.3211009174312,98.8500574664097,89.955062970132,46.86,5.11,35.45,32.78,0.0,35,9.323601957085048,23.45639804291495
CHP 10,M1,32.073995028589,11.5641025641026,20.157469717362,101.461661469135,94.1001955219538,61.51,4.7,42.97,44.92,0.0,34,14.40763856684218,30.512361433157825
WF MI,M1,27.8700793484005,15.8622754491018,27.8826815642458,91.1410281949355,103.800452208055,43.2,7.3,32.8,50.18,19.6,68,13.98520581702737,36.194794182972636
WF CR,M1,26.1457804398663,16.9404761904762,51.4032258064516,87.161013018337,103.921351601823,43.2,7.3,18.6,37.73,19.6,67,9.864802959961555,27.865197040038446
FM MI,M1,15.7111104486921,11.1409395973154,18.6581818181818,87.2436322317962,93.1032100024071,15.0,6.7,19.3,19.95,1.3,53,3.134366534514074,16.815633465485924
FM CR,M1,12.6190803938084,10.9791666666667,15.9326923076923,84.6429182567599,90.9076348878798,15.0,6.7,17.2,18.62,1.3,52,2.349672769327124,16.270327230672876
DE MI,M1,22.40302122896,9.96035242290749,14.3526315789474,90.1040073889419,96.9086466862118,44.7,7.1,23.2,24.26,1.7,48,5.4349729501456965,18.825027049854306
DE CR,M1,16.6378274000309,8.81290322580645,11.7123287671233,89.5195289317143,94.8437569530815,44.7,7.1,11.0,13.1,1.7,47,2.179555389404048,10.920444610595952
BZE 6201,M1,30.2041178724637,9.80786026200873,12.6363636363636,92.765617875057,103.993410326252,15.0,7.85,25.09,21.97,11.01,33,6.635844696580276,15.334155303419724
BZE 6035,M1,35.0601541258303,14.2542819499341,15.1639344262295,93.1102303043754,90.8146538127222,3.8,6.07,21.73,36.41,0.0,32,12.765402117214812,23.64459788278518
BZE 5406,M1,36.7049989450695,8.63888888888889,10.0727482678984,90.7242654240195,95.444418744087,37.6,7.38,81.08,75.38,4.18,31,27.668228204793387,47.71177179520661
BZE 5300,M1,44.1655832021119,9.53069306930693,11.2628205128205,91.5466584770928,95.092958605062,20.5,6.58,41.6,43.51,0.0,30,19.216445251238884,24.29355474876111
BZE 5216,M1,32.1419797160674,9.89540816326531,13.4,99.8712240737139,96.6720851286891,22.4,5.46,61.2,60.27,0.0,29,19.37197117487382,40.89802882512618
BZE 4770,M1,33.0068939175798,10.1124161073826,13.8986666666667,91.5905795155487,95.146820267213,67.2,7.31,80.16,73.59,2.84,28,24.28977323394698,49.30022676605302
BZE 4764,M1,33.7550941476008,8.93812375249501,13.7525597269625,94.5010670081093,93.7063982376412,46.0,6.42,56.45,56.22,0.0,27,18.97711392978117,37.24288607021882
BZE 4655,M1,20.2300063237855,10.910447761194,13.3506944444444,88.8819421110737,101.615840589012,21.5,6.6,15.67,16.45,0.31,26,3.3278360402627145,13.122163959737286
BZE 3952,M1,18.8403387463347,9.38513513513514,13.0898203592814,87.9779577147998,94.9967121380129,31.4,8.1,14.04,15.7,15.81,25,2.9579331831745477,12.742066816825451
BZE 3581,M1,16.6891516546307,8.22727272727273,13.2264150943396,88.2859603789836,87.419524919525,29.3,6.36,11.01,11.44,0.0,24,1.909238949289752,9.530761050710247
BZE 3290,M1,40.7817356987135,9.64670658682635,11.490832157969,94.8190578479914,98.9277883821464,31.1,6.01,59.29,58.57,0.0,23,23.885862598736495,34.684137401263506
BZE 2659,M1,35.3046920763863,11.5736434108527,13.993288590604,82.4329146730462,90.2125017700368,21.5,7.58,22.38,21.4,2.63,22,7.555204104346668,13.84479589565333
BZE 1412,M1,27.1814456011933,15.7549668874172,15.0,98.8835891443254,102.262142605748,3.2,5.9,15.53,15.63,0.0,20,4.248459947466513,11.381540052533488
BZE 1173,M1,38.0753630532868,13.8139377537212,14.2628865979381,99.0457910611461,96.1207323837393,5.2,5.89,59.77,61.95,0.0,18,23.587687411511173,38.36231258848883
BZE 0259,M1,27.4254400705885,10.9160583941606,15.811320754717,101.418113937783,104.987359456219,34.1,7.49,27.13,27.08,4.64,17,7.426809171115366,19.653190828884632
BZE 0060,M1,44.9478299588779,9.42250530785563,12.0966057441253,99.3595639306144,99.5573571267568,56.1,5.3,120.31,116.42,0.0,16,52.32826363812565,64.09173636187435
BS MI,M1,21.3905687124909,11.5081081081081,21.25,90.1041504942298,93.7442168244453,4.0,6.25,18.3,8.83,0.0,15,1.8887872173129465,6.941212782687054
BS A,M1,24.1044836020904,10.762331838565,20.8421052631579,98.607859929584,103.066008789416,4.0,6.25,15.5,10.49,0.0,14,2.528560329859283,7.9614396701407175
6019,M1,46.706799335055,9.4696734059098,11.1834130781499,97.5591251814733,97.8859450653485,39.1,5.86,136.96,0.0,0.0,6,0.0,0.0
3820,M1,20.2123477912624,9.57933579335793,12.0850439882698,101.311698633453,103.537661018641,53.9,7.52,28.94,27.1,29.27,4,5.477546251432111,21.622453748567892
3596,M1,25.2411017828,9.40291262135923,12.8678414096916,91.6339121059358,98.0550788130119,60.0,7.57,22.98,21.59,13.35,3,5.44955387490652,16.14044612509348
1005,M1,19.2826595428512,8.81899109792285,12.0,99.0945677933665,95.5031522433725,10.8,6.52,9.05,9.74,0.0,2,1.878131039473707,7.861868960526293
786,M1,31.3477686381251,20.7509549274255,20.051724137931,102.637481429777,102.56851604052,3.6,6.02,35.61,33.07,0.0,1,10.36670708862797,22.703292911372028
347,M1,62.7084097444066,16.8557327258922,16.3664596273292,93.7037438958221,94.486903750969,4.4,6.08,76.0,0.0,0.0,0,0.0,0.0
TT-06,M1,17.509173117132,8.3030303030303,11.0227272727273,100.534376926704,94.1350415610703,28.1,8.6,15.9,15.57,171.6,66,2.726178254337453,12.843821745662547
REMENDIA,M1,23.8324259809663,9.16044776119403,15.7371428571429,96.7646035751344,98.6383443130481,39.1,5.8,36.6,25.55,0.0,63,6.089184838136889,19.460815161863113
ENERIZ C4,M1,14.5540573265146,7.86131386861314,12.0135135135135,94.9049673363737,91.3323316028234,29.8,8.6,12.1,55.5,399.3,50,8.077501816215603,47.4224981837844
ENERIZ C3,M1,27.3313051425808,8.33333333333333,11.2056074766355,86.0182331808982,84.362592431883,29.8,8.6,14.0,57.98,399.3,49,15.846690721668345,42.13330927833165
CS-16-058-A2,M1,21.1178675049794,8.58333333333333,10.0718954248366,85.1910047389791,90.7105373583504,30.2,7.9,12.4,72.15,479.0,46,15.236541404842638,56.913458595157365
